Date,Price,Open,High,Low,Vol.,Change %,Volume
6/26/2023,0.064767,0.066719,0.066814,0.063505,1.19B,-2.90%,1190000000
6/25/2023,0.066704,0.066708,0.067992,0.066437,694.42M,0.00%,694420000
6/24/2023,0.066708,0.068224,0.068415,0.065442,1.10B,-2.22%,1100000000
6/23/2023,0.06822,0.065567,0.069946,0.065365,1.27B,4.05%,1270000000
6/22/2023,0.065567,0.065642,0.069278,0.065427,1.49B,-0.12%,1490000000
6/21/2023,0.065644,0.063108,0.066737,0.062845,1.42B,4.02%,1420000000
6/20/2023,0.063108,0.062429,0.063108,0.060782,696.97M,1.09%,696970000
6/19/2023,0.062429,0.062107,0.062755,0.061574,533.66M,0.52%,533660000
6/18/2023,0.062107,0.062193,0.063901,0.061409,938.05M,-0.14%,938050000
6/17/2023,0.062193,0.062172,0.062927,0.061778,544.38M,0.03%,544380000
6/16/2023,0.062172,0.06151,0.062744,0.06091,736.34M,1.08%,736340000
6/15/2023,0.061509,0.060413,0.061948,0.059738,774.12M,1.81%,774120000
6/14/2023,0.060413,0.061725,0.062178,0.058498,988.86M,-2.13%,988860000
6/13/2023,0.061726,0.061436,0.062642,0.060637,721.04M,0.47%,721040000
6/12/2023,0.061436,0.061528,0.06169,0.06009,788.59M,-0.15%,788590000
6/11/2023,0.061528,0.061765,0.062847,0.061089,875.00M,-0.38%,875000000
6/10/2023,0.061765,0.069462,0.070869,0.055888,3.58B,-11.08%,3580000000
6/9/2023,0.069462,0.067941,0.071069,0.067451,914.85M,2.24%,914850000
6/8/2023,0.067941,0.067284,0.068448,0.066998,523.93M,0.98%,523930000
6/7/2023,0.067284,0.07025,0.070291,0.066743,903.49M,-4.22%,903490000
6/6/2023,0.07025,0.066441,0.071971,0.065983,1.49B,5.73%,1490000000
6/5/2023,0.066441,0.072481,0.072684,0.063674,1.74B,-8.34%,1740000000
6/4/2023,0.072487,0.072709,0.073299,0.072368,361.80M,-0.30%,361800000
6/3/2023,0.072708,0.072571,0.072974,0.072207,297.37M,0.19%,297370000
